GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo2,aed,Horario,0,54,1,7,0,11,1,8,0,5
labo2,aed,Recordatorio,3,77,5,5,1,14,5,6,0,6
labo2,aed,ArregloRedimensionableDeRecordatorios,0,110,0,6,0,24,0,11,0,8
labo2,aed,Agenda,0,72,0,4,0,15,0,7,0,5
labo2,aed,Fecha,0,150,1,9,0,22,1,12,0,8
